Item,Qty,Reference(s),Value,Datasheet,Manufacturer,mpn,Package
1,1,C1,10uF,datasheets/AVX-CX5R-KGM-MLCC.pdf,KYOCERA AVX,KGM15CR50J106MT,0603
2,3,"C2, C3, C4",100nF,datasheets/AVX-CX5R-KGM-MLCC.pdf,KYOCERA AVX,KGM15AR51H104KT,0603
3,9,"R1, R2, R3, R4, R5, R6, R7, R10, R11",10K,datasheets/Vishay-Dale-DCRCWe3.pdf,Vishay Dale,CRCW060310K0JNEB,0603
4,2,"R8, R9",4K7,datasheets/Vishay-Dale-DCRCWe3.pdf,Vishay Dale,CRCW06034K70JNEA,0603
5,1,R12,470R,datasheets/Vishay-Dale-DCRCWe3.pdf,Vishay Dale,CRCW0603470RJNEB,0603
6,1,D1,IN-PI15TAT,datasheets/IN-PI15TAT5R5G5B.pdf,Inolux,IN-PI15TAT5R5G5B,15x15
7,1,J1,Feather_Header_01x16,datasheets/Sullins-xxxCxxxSxxN-RC.pdf,Sullins Connector Solutions,PREC016SAAN-RC,2.54mm
8,1,J2,Feather_Header_01x12,datasheets/Sullins-xxxCxxxSxxN-RC.pdf,Sullins Connector Solutions,PREC012SAAN-RC,2.54mm
9,1,J3,MEM2061,datasheets/GCT-MEM2061.pdf,GCT,MEM2061-01-188-00-A,N/A
20,1,J4,STEMMA-QT,datasheets/JST-eSH.pdf,JST Sales America Inc.,SM04B-SRSS-TB,JST-SH
11,1,SW1,JS102011SAQN,datasheets/CK-JS-SERIES.pdf,C&K,JS102011SAQN,N/A
12,1,U1,LPS22HB,datasheets/ST-LPS22HB.pdf,STMicroelectronics,LPS22HBTR,HLGA
13,1,U2,SHT41,datasheets/Sensirion-SHT4x.pdf,Sensirion,SHT41-AD1B-R3,WDFN
14,1,U3,11AA010,datasheets/Microchip-11AAxxx_11LCxxx.pdf,Microchip,11AA010T-I/TT,SOT23
